@relation 'balanced1-weka.filters.unsupervised.attribute.NumericToNominal-R1,20,21,22'

@attribute Khoa {1,2,3,4,5,6}
@attribute DiemDanhHK1 numeric
@attribute GPAHK1 numeric
@attribute TinChiDangKyHK1 numeric
@attribute GPATichLuyHK1 numeric
@attribute DiemDanhHK2 numeric
@attribute TinChiDangKyHK2 numeric
@attribute GPAHK2 numeric
@attribute GPATichLuyHK2 numeric
@attribute DanToc {Kinh,Khac}
@attribute GioiTinh {Nu,Nam}
@attribute QueQuan {Bac,Nam,Trung}
@attribute HonNhan {Chua,Roi}
@attribute DiemThiDaiHocTong numeric
@attribute DiemThiDaiHocToan numeric
@attribute DiemThiDaiHocLy numeric
@attribute DiemThiDaiHocHoa numeric
@attribute DiemThiDaiHocAnh numeric
@attribute DiemThiTHPT numeric
@attribute NamSinh {1988,1989,1990,1991,1992,1993,1994,1995,1996}
@attribute NamTotNghiepCap3 {2008,2009,2010,2011,2012,2013,2014}
@attribute NamNhapHoc {2010,2011,2012,2013,2014}
@attribute NhanTroCapToanPhanHK1 {Khong,Co}
@attribute NhanTroCapToanPhanHK2 {Khong,Co}
@attribute VayHocPhiHK1 {Co,Khong}
@attribute NhanHocBongHK1 {Khong,Co}
@attribute VayHocPhiHK2 {Co,Khong}
@attribute NhanHocBongHK2 {Co,Khong}
@attribute CoHocTiepKhong {Co,Khong}

@data
1,0.210634,0.438642,22,0.438642,0.283321,14,0.063662,0.292817,Kinh,Nam,Trung,Chua,21.5,7,5.75,0,8.75,42.75,1994,2014,2014,Khong,Khong,Khong,Co,Khong,Khong,Co
5,0.625595,0.573074,22,0.573074,0.53184,15,0.629435,0.595923,Kinh,Nu,Trung,Chua,21,6.5,7,7.5,0,48.5,1993,2011,2013,Khong,Khong,Co,Co,Co,Co,Co
2,0.895398,0.982655,22,0.982655,0.874134,22,0.874621,0.928638,Kinh,Nam,Trung,Chua,21.5,6.75,7.5,7.25,0,44.5,1996,2014,2014,Co,Khong,Co,Khong,Co,Co,Co
3,0.972141,0.82344,22,0.82344,0.811854,16,0.847912,0.833744,Kinh,Nam,Nam,Chua,21,10,8,0,3,54.75,1995,2013,2013,Khong,Khong,Co,Co,Co,Co,Co
1,0.175552,0.015117,22,0.015117,0.427425,22,0.151045,0.083081,Kinh,Nam,Trung,Chua,20,6.75,5.25,0,8,58.25,1992,2010,2011,Co,Co,Khong,Co,Khong,Khong,Co
6,0.959894,0.959047,22,0.959047,0.886605,17,0.860115,0.915923,Kinh,Nam,Nam,Chua,21.5,8.25,8.25,0,5,58.25,1994,2014,2014,Khong,Khong,Co,Co,Co,Co,Co
2,0.832608,0.964996,22,0.964996,0.902571,18,0.907536,0.939139,Kinh,Nam,Bac,Chua,22.5,6,9.25,7.25,0,58.75,1994,2013,2013,Khong,Co,Co,Khong,Co,Co,Co
3,0.068474,0.420712,22,0.420712,0.159175,20,0.085538,0.261105,Kinh,Nam,Trung,Chua,21.25,8.75,5.25,7.25,0,46.5,1992,2010,2010,Khong,Khong,Khong,Co,Khong,Khong,Co
5,0.595251,0.643729,22,0.643729,0.667276,20,0.57348,0.610277,Kinh,Nam,Bac,Chua,21,6,6.75,0,8.25,56.25,1994,2013,2013,Khong,Co,Co,Co,Co,Co,Co
1,0.641812,0.780939,22,0.780939,0.685497,17,0.597724,0.701076,Kinh,Nam,Nam,Chua,23.25,7.75,9.75,5.75,0,53,1993,2011,2011,Co,Co,Co,Khong,Co,Co,Co
3,0.898038,0.862438,22,0.862438,0.927871,16,0.997898,0.919474,Kinh,Nam,Nam,Chua,22.25,7.5,6.75,8,0,42.5,1993,2012,2012,Khong,Co,Co,Khong,Co,Co,Co
5,0.753,0.596903,22,0.596903,0.797608,14,0.648142,0.61683,Kinh,Nam,Nam,Chua,21,9.75,6.75,0,4.5,57.75,1995,2013,2013,Khong,Co,Co,Co,Co,Co,Co
4,0.642595,0.718074,22,0.718074,0.683743,16,0.672926,0.699064,Khac,Nam,Nam,Chua,19,9,6.5,0,3.5,41.25,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
1,0.772191,0.5931,22,0.5931,0.746637,18,0.774945,0.674931,Khac,Nam,Trung,Chua,23.25,5.5,8.25,9.5,0,58.25,1993,2011,2013,Co,Khong,Co,Co,Co,Co,Co
2,0.510785,0.578955,22,0.578955,0.562652,18,0.79734,0.677228,Kinh,Nam,Trung,Chua,21.5,5.5,6,0,10,53.25,1996,2014,2014,Khong,Co,Co,Khong,Co,Co,Co
6,0.389527,0.297061,22,0.297061,0.003306,19,0.41299,0.350784,Kinh,Nam,Bac,Chua,20.25,7.25,6.5,6.5,0,55.75,1994,2012,2012,Co,Khong,Khong,Co,Khong,Khong,Co
6,0.877562,0.951786,22,0.951786,0.881728,19,0.984664,0.967022,Kinh,Nu,Nam,Chua,20.25,9.25,10,0,1,47.25,1994,2012,2012,Co,Khong,Co,Khong,Co,Co,Co
4,0.616231,0.698283,22,0.698283,0.608835,15,0.502304,0.618832,Kinh,Nam,Nam,Chua,20.25,7,6,7.25,0,52,1992,2012,2012,Khong,Khong,Co,Khong,Co,Co,Co
5,0.356929,0.005336,22,0.005336,0.446102,17,0.033717,0.017707,Khac,Nu,Bac,Chua,21,7.75,9.25,0,4,45,1993,2011,2013,Co,Co,Khong,Khong,Khong,Khong,Co
2,0.856651,0.968315,22,0.968315,0.897904,15,0.892633,0.937633,Kinh,Nu,Bac,Chua,20.25,8.25,8.5,0,3.5,42.75,1991,2011,2012,Co,Khong,Co,Khong,Co,Co,Co
6,0.819386,0.85939,22,0.85939,0.983331,16,0.872879,0.86507,Kinh,Nu,Trung,Chua,26.25,8.75,8,9.5,0,47.25,1994,2012,2012,Co,Khong,Co,Co,Co,Co,Co
5,0.924054,0.845535,22,0.845535,0.882786,16,0.853954,0.84908,Kinh,Nam,Bac,Chua,25,9.75,10,5.25,0,49,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.68759,0.727427,22,0.727427,0.710114,19,0.622314,0.678716,Kinh,Nam,Bac,Chua,23,6.5,6.75,9.75,0,46,1993,2013,2013,Khong,Co,Co,Co,Co,Co,Co
2,0.640261,0.578094,22,0.578094,0.674255,17,0.526425,0.555571,Khac,Nam,Nam,Chua,20.25,6.25,6,8,0,43,1992,2010,2012,Co,Khong,Co,Khong,Co,Co,Co
1,0.861019,0.82384,22,0.82384,0.9301,19,0.823624,0.82374,Kinh,Nam,Bac,Chua,21,7.25,7.25,6.5,0,46.5,1993,2011,2011,Khong,Co,Co,Khong,Co,Co,Co
4,0.876344,0.839975,22,0.839975,0.915717,22,0.943718,0.891847,Kinh,Nam,Nam,Chua,20,8,9.25,0,2.75,44.25,1993,2011,2011,Co,Co,Co,Co,Co,Co,Co
4,0.877091,0.979862,22,0.979862,0.873814,16,0.88131,0.938366,Kinh,Nam,Nam,Chua,24.75,7.5,9.5,7.75,0,57.5,1990,2008,2010,Khong,Co,Co,Khong,Co,Co,Co
1,0.997834,0.890563,22,0.890563,0.905764,22,0.838954,0.864758,Kinh,Nam,Nam,Chua,21.25,5.75,9.5,6,0,47.5,1991,2009,2010,Khong,Khong,Co,Co,Co,Co,Co
4,0.819826,0.968997,22,0.968997,0.936838,18,0.841518,0.911631,Kinh,Nam,Bac,Chua,20.25,6,6.5,0,7.75,44.5,1993,2011,2012,Co,Khong,Co,Co,Co,Co,Co
3,0.943256,0.870965,22,0.870965,0.861789,15,0.998065,0.922492,Kinh,Nam,Trung,Chua,21.5,6,8.5,0,7,49,1994,2012,2014,Co,Khong,Co,Khong,Co,Co,Co
1,0.962888,0.894901,22,0.894901,0.893238,19,0.932473,0.912312,Kinh,Nam,Trung,Chua,21,7.25,8,5.75,0,49.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
2,0.823726,0.809624,22,0.809624,0.943792,20,0.982066,0.891739,Khac,Nam,Nam,Chua,21.5,8.25,6.75,6.5,0,53.5,1994,2013,2013,Co,Co,Co,Co,Co,Co,Co
3,0.846112,0.806067,22,0.806067,0.809717,15,0.919261,0.851956,Kinh,Nam,Nam,Chua,20,7.25,5,7.75,0,53.75,1993,2011,2011,Khong,Khong,Co,Khong,Co,Co,Co
5,0.993379,0.93892,22,0.93892,0.840837,15,0.876614,0.91366,Kinh,Nam,Bac,Chua,20.25,8,6,0,6.25,42.25,1994,2012,2012,Khong,Co,Co,Khong,Co,Co,Co
1,0.884729,0.916029,22,0.916029,0.959531,20,0.811781,0.866387,Kinh,Nam,Nam,Chua,21,7,6.5,0,7.5,50.5,1995,2013,2013,Co,Khong,Co,Co,Co,Co,Co
3,0.989675,0.92048,22,0.92048,0.884589,14,0.888039,0.907864,Kinh,Nam,Nam,Chua,28.25,9.75,9.5,9,0,60,1996,2014,2014,Co,Co,Co,Khong,Co,Co,Co
3,0.816565,0.859969,22,0.859969,0.817136,18,0.831549,0.84718,Kinh,Nu,Nam,Chua,23.75,6.25,8.5,9,0,41.5,1993,2011,2011,Co,Khong,Co,Co,Co,Co,Co
6,0.910396,0.952129,22,0.952129,0.97214,20,0.885648,0.920471,Kinh,Nam,Nam,Chua,20.5,7.25,8,5.25,0,46.5,1993,2012,2012,Co,Khong,Co,Khong,Co,Co,Co
2,0.966766,0.843437,22,0.843437,0.958693,14,0.949137,0.884542,Khac,Nam,Nam,Roi,21,5.25,5,0,10.75,40.75,1994,2012,2013,Khong,Co,Co,Khong,Co,Co,Co
6,0.892686,0.954887,22,0.954887,0.993049,19,0.936747,0.946481,Kinh,Nu,Bac,Chua,21.5,5.75,5.25,10.5,0,49,1996,2014,2014,Co,Khong,Co,Khong,Co,Co,Co
5,0.928385,0.957492,22,0.957492,0.869151,17,0.997167,0.974786,Kinh,Nu,Nam,Chua,21,8.5,8.75,0,3.75,57,1994,2013,2013,Co,Khong,Co,Khong,Co,Co,Co
2,0.971342,0.954383,22,0.954383,0.907361,21,0.919019,0.937112,Kinh,Nam,Trung,Chua,27.25,8.5,9.25,9.5,0,56.75,1995,2013,2013,Khong,Khong,Co,Co,Co,Co,Co
5,0.039038,0.345588,22,0.345588,0.440914,19,0.116359,0.23936,Kinh,Nam,Bac,Chua,20,6,5.5,8.5,0,41.75,1991,2010,2010,Khong,Co,Khong,Khong,Khong,Khong,Co
3,0.94571,0.835171,22,0.835171,0.80424,19,0.860675,0.84699,Kinh,Nam,Nam,Chua,21.5,6.75,7.25,7.5,0,52.5,1996,2014,2014,Co,Khong,Co,Khong,Co,Co,Co
1,0.965038,0.882407,22,0.882407,0.937582,22,0.958346,0.920376,Kinh,Nam,Bac,Chua,19.75,5.25,7.5,7,0,41,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
5,0.96142,0.977988,22,0.977988,0.925746,19,0.814507,0.902229,Kinh,Nam,Nam,Chua,19,8.5,7.75,0,2.75,49.75,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
2,0.218492,0.308456,22,0.308456,0.052386,17,0.137066,0.233747,Kinh,Nam,Bac,Chua,20.25,8.75,7,0,4.5,53.5,1993,2011,2012,Khong,Co,Khong,Khong,Khong,Khong,Co
2,0.924627,0.868994,22,0.868994,0.887926,21,0.929634,0.898609,Khac,Nam,Nam,Chua,19,7,9.75,0,2.25,55.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
3,0.836707,0.895111,22,0.895111,0.869561,16,0.839516,0.871702,Kinh,Nam,Nam,Chua,25,10,8,7,0,58.25,1995,2013,2014,Khong,Khong,Co,Co,Co,Co,Co
3,0.021121,0.313562,22,0.313562,0.221359,21,0.42109,0.366075,Kinh,Nam,Nam,Chua,19,9,5.5,0,4.5,44.25,1991,2009,2010,Khong,Khong,Khong,Khong,Khong,Khong,Co
6,0.825403,0.958666,22,0.958666,0.914526,16,0.983395,0.969078,Khac,Nam,Trung,Chua,24.5,8.25,8.25,8,0,42,1991,2010,2011,Khong,Khong,Co,Khong,Co,Co,Co
5,0.800839,0.911027,22,0.911027,0.882051,19,0.899656,0.905757,Kinh,Nam,Nam,Chua,24.75,9.5,8.5,6.75,0,58.75,1994,2012,2012,Co,Khong,Co,Co,Co,Co,Co
6,0.963456,0.899209,22,0.899209,0.921516,14,0.97219,0.92759,Kinh,Nam,Bac,Chua,23.25,9.75,5.75,7.75,0,57.5,1993,2011,2011,Khong,Khong,Co,Co,Co,Co,Co
5,0.186659,0.420092,22,0.420092,0.035648,20,0.491107,0.453909,Kinh,Nam,Trung,Chua,21,8,9,0,4,59.5,1994,2013,2013,Co,Co,Khong,Co,Khong,Khong,Co
4,0.908511,0.961927,22,0.961927,0.953807,18,0.963567,0.962665,Kinh,Nu,Trung,Chua,23.75,8,6.75,9,0,52.75,1994,2012,2012,Co,Co,Co,Co,Co,Co,Co
1,0.927331,0.993157,22,0.993157,0.998236,18,0.862617,0.934414,Kinh,Nam,Bac,Chua,21,8.75,6.5,0,5.75,49.25,1993,2011,2013,Co,Khong,Co,Khong,Co,Co,Co
4,0.765049,0.598773,22,0.598773,0.614057,15,0.58823,0.594498,Kinh,Nam,Trung,Chua,26,8.75,7.75,9.5,0,50.75,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
1,0.807548,0.870578,22,0.870578,0.930884,19,0.825181,0.84954,Kinh,Nam,Nam,Chua,21.5,7.25,8,6.25,0,55,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
2,0.69769,0.702014,22,0.702014,0.596297,20,0.515872,0.613375,Kinh,Nam,Bac,Chua,23,8.5,6.5,8,0,54,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
6,0.787043,0.505032,22,0.505032,0.680857,14,0.754189,0.601926,Kinh,Nu,Nam,Chua,20,5.25,9.5,0,5.25,55.75,1993,2011,2011,Co,Co,Co,Co,Co,Co,Co
2,0.989547,0.946592,22,0.946592,0.861827,19,0.819029,0.887478,Kinh,Nam,Nam,Chua,19,9.25,6.75,0,3,50.75,1991,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
2,0.824194,0.978332,22,0.978332,0.929251,15,0.807958,0.909261,Kinh,Nu,Bac,Chua,20,5.5,5.25,0,9.25,51.5,1993,2011,2011,Khong,Khong,Co,Co,Co,Co,Co
4,0.930716,0.98796,22,0.98796,0.800895,21,0.993809,0.990816,Kinh,Nam,Bac,Chua,19,8.75,7,0,3.25,44.5,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
4,0.826094,0.935282,22,0.935282,0.942936,17,0.814713,0.882726,Kinh,Nam,Bac,Chua,21.75,7,9.5,5.25,0,51,1993,2013,2013,Khong,Khong,Co,Khong,Co,Co,Co
5,0.835988,0.827055,22,0.827055,0.989682,22,0.845333,0.836194,Kinh,Nam,Trung,Chua,23,7.25,8,7.75,0,49.25,1988,2008,2010,Co,Co,Co,Khong,Co,Co,Co
2,0.917236,0.940827,22,0.940827,0.895553,21,0.873897,0.908141,Kinh,Nam,Nam,Chua,22.75,7.75,5.5,9.5,0,42.5,1996,2014,2014,Co,Co,Co,Khong,Co,Co,Co
2,0.988777,0.936388,22,0.936388,0.953621,20,0.912606,0.925064,Kinh,Nam,Trung,Chua,19,7,7.5,0,4.5,47,1991,2010,2010,Khong,Co,Co,Co,Co,Co,Co
4,0.891849,0.960519,22,0.960519,0.940551,17,0.915975,0.941102,Kinh,Nam,Bac,Chua,21.5,6.75,5.75,0,9,53,1995,2014,2014,Co,Co,Co,Khong,Co,Co,Co
4,0.970446,0.919593,22,0.919593,0.994904,14,0.925789,0.922002,Khac,Nu,Nam,Chua,20.25,6.75,6,0,7.5,43,1994,2012,2012,Khong,Khong,Co,Co,Co,Co,Co
4,0.892747,0.878163,22,0.878163,0.832695,19,0.886267,0.881919,Kinh,Nu,Trung,Chua,19,6.5,8.5,0,4,53.75,1990,2008,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.90879,0.966094,22,0.966094,0.950045,17,0.925967,0.948603,Kinh,Nam,Trung,Chua,19,9.25,5.75,0,4,53.25,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
2,0.733955,0.662599,22,0.662599,0.665537,15,0.578892,0.628664,Kinh,Nam,Bac,Chua,23.5,6.25,8.25,9,0,55.25,1991,2010,2012,Co,Co,Co,Co,Co,Co,Co
1,0.982426,0.970347,22,0.970347,0.980866,22,0.842851,0.906599,Kinh,Nu,Nam,Chua,20,9,9,0,2,45,1992,2011,2011,Khong,Khong,Co,Khong,Co,Co,Co
6,0.802877,0.987312,22,0.987312,0.823194,14,0.816781,0.920994,Kinh,Nu,Nam,Chua,20,7,5.75,7.25,0,41,1990,2010,2010,Khong,Co,Co,Co,Co,Co,Co
4,0.963059,0.988687,22,0.988687,0.99888,15,0.932668,0.965977,Kinh,Nam,Trung,Chua,21.5,8,7.25,6.25,0,59.5,1996,2014,2014,Co,Co,Co,Khong,Co,Co,Co
1,0.858932,0.927399,22,0.927399,0.974535,15,0.971636,0.945333,Kinh,Nam,Nam,Chua,22,5.25,8,8.75,0,45,1992,2012,2012,Khong,Khong,Co,Co,Co,Co,Co
6,0.881651,0.976129,22,0.976129,0.863165,14,0.836143,0.92169,Khac,Nu,Bac,Chua,19.25,6.5,7,5.75,0,49.25,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
1,0.909651,0.996826,22,0.996826,0.970896,16,0.933824,0.970299,Kinh,Nu,Bac,Chua,21.5,7.5,6,0,8,50,1996,2014,2014,Khong,Khong,Co,Co,Co,Co,Co
6,0.905817,0.866467,22,0.866467,0.934043,17,0.918934,0.889337,Kinh,Nu,Bac,Chua,24,6,8.75,9.25,0,51.5,1994,2012,2012,Co,Co,Co,Co,Co,Co,Co
6,0.97263,0.850364,22,0.850364,0.802108,20,0.828026,0.839727,Kinh,Nam,Nam,Chua,20,8.5,7.25,0,4.25,58.25,1993,2011,2011,Khong,Co,Co,Co,Co,Co,Co
4,0.998709,0.826252,22,0.826252,0.993941,14,0.974353,0.883847,Khac,Nu,Bac,Chua,21.5,7,6.5,8,0,41,1993,2013,2014,Co,Co,Co,Co,Co,Co,Co
5,0.529955,0.768774,22,0.768774,0.580098,22,0.517876,0.643325,Kinh,Nam,Trung,Chua,21,8.25,5.5,0,7.25,59,1995,2013,2013,Co,Co,Co,Co,Co,Co,Co
1,0.60069,0.677647,22,0.677647,0.526347,21,0.566408,0.623321,Khac,Nam,Bac,Chua,21,7.25,7.25,6.5,0,46.75,1994,2012,2013,Khong,Co,Co,Khong,Co,Co,Co
1,0.132474,0.035442,22,0.035442,0.005591,14,0.404328,0.178898,Kinh,Nam,Nam,Chua,24.25,8.25,8.25,7.75,0,48,1994,2012,2012,Khong,Khong,Khong,Khong,Khong,Khong,Co
1,0.932369,0.937626,22,0.937626,0.965356,19,0.838632,0.89175,Kinh,Nu,Trung,Chua,21.5,9.75,6.75,0,5,40.25,1995,2014,2014,Khong,Co,Co,Co,Co,Co,Co
2,0.304853,0.442257,22,0.442257,0.423521,20,0.390417,0.417571,Kinh,Nam,Nam,Chua,21,7.5,7,0,6.5,59,1995,2013,2013,Khong,Co,Khong,Khong,Khong,Khong,Co
5,0.395853,0.294055,22,0.294055,0.401538,15,0.386685,0.331608,Khac,Nam,Bac,Chua,20,7.75,7,0,5.25,45,1993,2011,2011,Khong,Khong,Khong,Co,Khong,Khong,Co
6,0.866601,0.806274,22,0.806274,0.952668,17,0.902293,0.848129,Kinh,Nam,Bac,Chua,20,9,6.25,0,4.75,52,1993,2011,2011,Co,Khong,Co,Khong,Co,Co,Co
1,0.742353,0.535484,22,0.535484,0.592565,14,0.652428,0.580962,Kinh,Nam,Bac,Chua,19,5,6.5,7.5,0,41.25,1989,2009,2010,Khong,Khong,Co,Co,Co,Co,Co
4,0.919338,0.854787,22,0.854787,0.891818,20,0.884025,0.86871,Kinh,Nam,Nam,Chua,22,6,7,9,0,49.75,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
6,0.862003,0.869531,22,0.869531,0.827443,16,0.965932,0.910121,Kinh,Nam,Trung,Chua,21.5,5.25,6.25,0,10,40.25,1996,2014,2014,Co,Co,Co,Co,Co,Co,Co
1,0.583926,0.639893,22,0.639893,0.790399,21,0.652042,0.645827,Khac,Nam,Bac,Chua,20,5.25,6.75,0,8,44.25,1991,2009,2011,Khong,Co,Co,Khong,Co,Co,Co
1,0.988552,0.913334,22,0.913334,0.882965,16,0.808827,0.869331,Kinh,Nam,Trung,Chua,20.25,8.5,5.75,6,0,45.25,1993,2011,2012,Co,Co,Co,Khong,Co,Co,Co
1,0.925404,0.819676,22,0.819676,0.835719,15,0.95044,0.872688,Kinh,Nam,Nam,Chua,23.25,8.5,5.75,9,0,57.75,1993,2011,2011,Khong,Khong,Co,Khong,Co,Co,Co
6,0.91938,0.970828,22,0.970828,0.941253,16,0.902497,0.942057,Kinh,Nam,Trung,Chua,20,6,5.75,0,8.25,53.5,1991,2011,2011,Khong,Co,Co,Khong,Co,Co,Co
5,0.980831,0.87671,22,0.87671,0.878021,14,0.824949,0.85658,Kinh,Nam,Nam,Chua,19,5.25,7.25,0,6.5,41.25,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
6,0.829713,0.9124,22,0.9124,0.956692,20,0.942856,0.926903,Kinh,Nam,Bac,Chua,24.25,7.5,6.75,10,0,56.75,1994,2012,2012,Khong,Khong,Co,Khong,Co,Co,Co
4,0.764737,0.679114,22,0.679114,0.729389,17,0.721324,0.697513,Kinh,Nam,Nam,Chua,23.5,6,9.5,8,0,44.5,1993,2013,2014,Co,Co,Co,Khong,Co,Co,Co
4,0.559892,0.539895,22,0.539895,0.501161,16,0.798103,0.648614,Kinh,Nam,Trung,Roi,26.75,8.5,9,9.25,0,58,1992,2010,2012,Co,Co,Co,Co,Co,Co,Co
1,0.845209,0.924974,22,0.924974,0.909647,17,0.871465,0.90165,Kinh,Nam,Nam,Chua,21.5,9,8,0,4.5,55.25,1995,2014,2014,Co,Co,Co,Co,Co,Co,Co
2,0.83031,0.858679,22,0.858679,0.990262,16,0.894842,0.873905,Kinh,Nu,Nam,Chua,21.5,8.75,9.25,0,3.5,40.25,1996,2014,2014,Co,Khong,Co,Khong,Co,Co,Co
3,0.84132,0.818558,22,0.818558,0.924282,18,0.984987,0.893451,Kinh,Nam,Nam,Chua,22,6,7.75,8.25,0,52.5,1993,2012,2012,Khong,Khong,Co,Co,Co,Co,Co
5,0.935965,0.846126,22,0.846126,0.872474,20,0.820084,0.833725,Kinh,Nam,Nam,Chua,20.25,6.5,6,0,7.75,58.25,1992,2010,2012,Co,Co,Co,Khong,Co,Co,Co
2,0.943304,0.875577,22,0.875577,0.99967,21,0.938586,0.906349,Kinh,Nam,Bac,Chua,20,5.5,9,5.5,0,52.5,1991,2009,2011,Co,Khong,Co,Khong,Co,Co,Co
5,0.938449,0.89097,22,0.89097,0.82123,16,0.825549,0.863424,Kinh,Nam,Nam,Chua,19,9.75,5,0,4.25,51,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
6,0.93942,0.840933,22,0.840933,0.982828,22,0.948895,0.894914,Kinh,Nu,Nam,Chua,23.75,9,6,8.75,0,44.25,1995,2013,2013,Co,Khong,Co,Khong,Co,Co,Co
1,0.887954,0.807288,22,0.807288,0.975107,17,0.890866,0.84372,Khac,Nam,Bac,Chua,21,7.25,6,0,7.75,53.25,1993,2011,2013,Co,Khong,Co,Khong,Co,Co,Co
2,0.520943,0.610095,22,0.610095,0.594857,15,0.674249,0.636103,Kinh,Nam,Trung,Chua,20,6.75,6.25,0,7,57.75,1990,2010,2011,Co,Co,Co,Khong,Co,Co,Co
3,0.014324,0.067892,22,0.067892,0.299097,19,0.417892,0.230087,Kinh,Nam,Bac,Chua,25,9.5,9.5,6,0,56,1994,2013,2013,Khong,Khong,Khong,Khong,Khong,Khong,Co
3,0.892684,0.969743,22,0.969743,0.984795,15,0.892397,0.938386,Kinh,Nam,Bac,Chua,20.25,7.5,7.75,0,5,45,1992,2010,2012,Co,Khong,Co,Khong,Co,Co,Co
3,0.925257,0.851883,22,0.851883,0.801342,21,0.809568,0.831218,Kinh,Nam,Bac,Chua,20,7.25,7.75,0,5,58.25,1993,2011,2011,Khong,Co,Co,Khong,Co,Co,Co
