@relation 'original_data-weka.filters.unsupervised.attribute.NumericToNominal-R1,20,21,22'

@attribute Khoa {1,2,3,4,5,6}
@attribute DiemDanhHK1 numeric
@attribute GPAHK1 numeric
@attribute TinChiDangKyHK1 numeric
@attribute GPATichLuyHK1 numeric
@attribute DiemDanhHK2 numeric
@attribute TinChiDangKyHK2 numeric
@attribute GPAHK2 numeric
@attribute GPATichLuyHK2 numeric
@attribute DanToc {Kinh,Khac}
@attribute GioiTinh {Nam,Nu}
@attribute QueQuan {Trung,Nam,Bac}
@attribute HonNhan {Chua,Roi}
@attribute DiemThiDaiHocTong numeric
@attribute DiemThiDaiHocToan numeric
@attribute DiemThiDaiHocLy numeric
@attribute DiemThiDaiHocHoa numeric
@attribute DiemThiDaiHocAnh numeric
@attribute DiemThiTHPT numeric
@attribute NamSinh {1988,1989,1990,1991,1992,1993,1994,1995,1996}
@attribute NamTotNghiepCap3 {2008,2009,2010,2011,2012,2013,2014}
@attribute NamNhapHoc {2010,2011,2012,2013,2014}
@attribute NhanTroCapToanPhanHK1 {Co,Khong}
@attribute NhanTroCapToanPhanHK2 {Khong,Co}
@attribute VayHocPhiHK1 {Co,Khong}
@attribute NhanHocBongHK1 {Co,Khong}
@attribute VayHocPhiHK2 {Co,Khong}
@attribute NhanHocBongHK2 {Co,Khong}
@attribute CoHocTiepKhong {Co,Khong}

@data
6,0.95,0.87,22,0.87,0.88,22,0.93,0.9,Kinh,Nam,Nam,Chua,19,9.75,8.5,0,0.75,59.75,1990,2008,2010,Co,Khong,Co,Khong,Co,Co,Co
6,0.86,0.99,22,0.99,0.87,14,0.81,0.92,Kinh,Nam,Nam,Chua,20.75,7.5,5.5,7.75,0,46.25,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
2,0.87,0.93,22,0.93,0.83,22,0.85,0.89,Kinh,Nu,Nam,Chua,19,7,6.75,0,5.25,59.5,1990,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
6,0.86,0.93,22,0.93,0.89,16,0.87,0.9,Kinh,Nam,Trung,Chua,24,9.25,6,8.75,0,41.5,1990,2010,2010,Co,Co,Co,Khong,Co,Co,Co
4,0.97,0.94,22,0.94,0.81,21,0.91,0.93,Khac,Nam,Trung,Chua,23.75,9.75,8,6,0,42.5,1991,2009,2010,Co,Khong,Co,Co,Co,Co,Co
2,0.99,0.99,22,0.99,0.95,20,0.98,0.99,Khac,Nam,Bac,Chua,24.75,7,9.75,8,0,57,1991,2010,2010,Co,Co,Co,Co,Co,Co,Co
6,0.99,0.84,22,0.84,0.84,14,0.83,0.84,Kinh,Nu,Nam,Chua,19,7.25,9,0,2.75,42,1990,2008,2010,Co,Khong,Co,Co,Co,Co,Co
5,0.94,0.92,22,0.92,0.87,14,0.89,0.91,Kinh,Nu,Nam,Chua,19,6.25,8.25,0,4.5,40,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
5,0.96,0.93,22,0.93,0.88,22,0.89,0.91,Kinh,Nam,Bac,Chua,22.75,7.25,9,6.5,0,55.25,1990,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
2,0.95,0.91,22,0.91,0.92,21,0.85,0.88,Kinh,Nam,Bac,Chua,19,7.75,5.25,6,0,44.25,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
3,0.97,0.83,22,0.83,0.95,15,0.91,0.86,Kinh,Nam,Nam,Chua,25,9,7.75,8.25,0,44.5,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
1,0.98,0.85,22,0.85,0.87,22,0.82,0.84,Kinh,Nam,Nam,Chua,19,6,9.5,0,3.5,46.75,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
6,0.88,0.89,22,0.89,0.92,15,0.99,0.93,Kinh,Nam,Nam,Chua,19,8.75,9.75,0,0.5,51.75,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
2,0.89,0.89,22,0.89,0.91,18,0.89,0.89,Kinh,Nam,Nam,Chua,19,6.5,5,7.5,0,55.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
3,0.94,0.98,22,0.98,0.86,14,0.84,0.93,Kinh,Nam,Bac,Chua,19,8,9.5,0,1.5,55.25,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
6,0.92,0.95,22,0.95,0.8,18,0.87,0.91,Kinh,Nam,Bac,Chua,26,9.5,6.75,9.75,0,59.5,1990,2008,2010,Co,Khong,Co,Co,Co,Co,Co
4,0.93,0.81,22,0.81,0.95,14,0.84,0.82,Kinh,Nu,Trung,Chua,19,8.5,9.75,0,0.75,41.25,1990,2010,2010,Co,Co,Co,Khong,Co,Co,Co
2,0.91,0.97,22,0.97,0.8,14,0.84,0.92,Kinh,Nu,Bac,Chua,19,9,6.75,0,3.25,58.25,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
4,0.8,0.82,22,0.82,0.92,20,0.98,0.9,Kinh,Nu,Bac,Chua,19,5.75,5.5,0,7.75,56,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
1,0.82,0.95,22,0.95,0.86,20,0.94,0.95,Kinh,Nam,Bac,Chua,19,7.5,7,0,4.5,40.25,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
6,0.91,0.83,22,0.83,0.86,21,0.97,0.9,Kinh,Nu,Bac,Chua,19,7,9,0,3,49,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
3,0.97,0.99,22,0.99,0.97,19,0.86,0.93,Kinh,Nam,Nam,Chua,24.75,8.25,7.5,9,0,58.5,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
2,0.93,0.9,22,0.9,0.85,20,0.87,0.89,Kinh,Nam,Trung,Chua,19,7.5,9.75,0,1.75,48.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
4,0.95,0.93,22,0.93,0.86,16,0.97,0.95,Kinh,Nam,Bac,Chua,19,8,9.75,0,1.25,48.25,1990,2008,2010,Khong,Khong,Co,Co,Co,Co,Co
1,0.86,0.99,22,0.99,0.95,14,0.88,0.95,Khac,Nam,Bac,Chua,19,9.5,7.75,0,1.75,46.75,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
4,0.83,0.84,22,0.84,0.95,18,0.88,0.86,Kinh,Nu,Nam,Chua,19,8.5,8.75,0,1.75,52,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
2,0.95,0.93,22,0.93,0.89,14,0.87,0.91,Kinh,Nam,Nam,Chua,19,8.25,7.25,0,3.5,49.75,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
6,0.82,0.88,22,0.88,0.98,16,0.82,0.85,Khac,Nam,Bac,Chua,19,8,7.75,0,3.25,50.75,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
4,0.9,0.91,22,0.91,0.82,19,0.86,0.89,Kinh,Nam,Trung,Chua,19,7,10,0,2,54.75,1991,2009,2010,Co,Co,Co,Khong,Co,Co,Co
3,0.84,0.8,22,0.8,0.8,20,0.99,0.89,Kinh,Nu,Nam,Chua,24.75,9.75,7.75,7.25,0,57.5,1991,2010,2010,Khong,Co,Co,Co,Co,Co,Co
3,0.85,0.87,22,0.87,0.97,17,0.97,0.91,Kinh,Nam,Trung,Chua,19,8.5,5,0,5.5,41.5,1990,2008,2010,Khong,Co,Co,Khong,Co,Co,Co
1,0.82,0.94,22,0.94,0.89,16,0.97,0.95,Kinh,Nam,Bac,Chua,22.75,6,8.5,8.25,0,46.75,1990,2008,2010,Khong,Co,Co,Co,Co,Co,Co
5,0.89,0.97,22,0.97,0.91,18,0.81,0.9,Kinh,Nam,Bac,Chua,19,7.25,10,0,1.75,42.75,1991,2009,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.91,0.97,22,0.97,0.95,17,0.93,0.95,Kinh,Nam,Trung,Chua,19,9.25,5.75,0,4,53.25,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
3,0.84,0.91,22,0.91,0.81,18,0.95,0.93,Kinh,Nam,Bac,Chua,19,6,10,0,3,43.75,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
2,0.82,0.8,22,0.8,0.84,22,0.82,0.81,Kinh,Nam,Nam,Chua,19,5,8.25,0,5.75,51.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
2,0.95,0.89,22,0.89,0.99,21,0.85,0.87,Khac,Nu,Bac,Chua,24.75,6,9.25,9.5,0,44.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
4,0.99,0.85,22,0.85,0.82,18,0.85,0.85,Kinh,Nam,Bac,Chua,19,6.25,6.5,0,6.25,55.5,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
1,0.87,0.99,22,0.99,0.89,16,0.86,0.94,Kinh,Nam,Bac,Chua,25.5,9.25,8.75,7.5,0,44.25,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
1,1,0.89,22,0.89,0.91,22,0.84,0.87,Kinh,Nam,Nam,Chua,21.25,5.75,9.5,6,0,47.5,1991,2009,2010,Khong,Khong,Co,Co,Co,Co,Co
5,0.87,0.84,22,0.84,0.9,20,1,0.92,Kinh,Nam,Bac,Chua,19,9.5,5.25,0,4.25,44.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
3,0.95,0.81,22,0.81,0.87,17,0.93,0.86,Kinh,Nam,Nam,Chua,19,9.75,8.5,0,0.75,60,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
6,0.96,0.99,22,0.99,0.87,14,0.92,0.96,Kinh,Nu,Nam,Chua,19,5.5,7.25,0,6.25,59,1990,2010,2010,Co,Co,Co,Co,Co,Co,Co
2,0.81,0.84,22,0.84,1,21,0.99,0.91,Kinh,Nam,Bac,Chua,23.5,6.75,9.5,7.25,0,49.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
6,0.92,0.91,22,0.91,0.96,16,0.81,0.87,Khac,Nam,Bac,Chua,19,5,5.5,0,8.5,48.5,1990,2008,2010,Khong,Co,Co,Co,Co,Co,Co
1,0.86,0.87,22,0.87,0.89,16,0.98,0.92,Kinh,Nam,Trung,Chua,19,7.25,7.25,0,4.5,51.75,1991,2009,2010,Khong,Khong,Co,Khong,Co,Co,Co
4,0.94,0.88,22,0.88,0.93,14,0.96,0.91,Kinh,Nam,Bac,Chua,19,8,7.5,0,3.5,57.75,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
1,0.84,0.93,22,0.93,0.87,18,0.91,0.92,Kinh,Nam,Bac,Chua,19,5.5,8.25,0,5.25,54,1991,2009,2010,Khong,Co,Co,Khong,Co,Co,Co
2,0.85,0.83,22,0.83,0.94,22,0.94,0.89,Kinh,Nam,Trung,Chua,19,5.5,6,0,7.5,52.75,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
4,0.96,0.83,22,0.83,0.87,16,0.81,0.82,Kinh,Nu,Nam,Chua,21.25,6.25,8.25,6.75,0,56.5,1991,2010,2010,Co,Co,Co,Khong,Co,Co,Co
3,0.88,0.94,22,0.94,0.92,19,0.81,0.88,Kinh,Nam,Bac,Chua,20,6.25,7.75,6,0,44.75,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
4,0.87,0.85,22,0.85,0.88,17,0.9,0.87,Kinh,Nam,Trung,Chua,20.5,8,7.25,5.25,0,51.5,1990,2008,2010,Khong,Co,Co,Khong,Co,Co,Co
2,0.93,0.98,22,0.98,0.96,18,0.9,0.94,Kinh,Nam,Trung,Chua,19,9.75,6.5,0,2.75,43.25,1992,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
1,0.96,0.9,22,0.9,0.83,15,0.92,0.91,Kinh,Nam,Bac,Chua,19,6.25,6.75,6,0,52,1990,2008,2010,Khong,Khong,Co,Khong,Co,Co,Co
5,0.88,0.86,22,0.86,0.85,22,0.92,0.89,Kinh,Nam,Bac,Chua,19,6,6.25,6.75,0,48.75,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
1,0.95,0.98,22,0.98,0.81,17,0.96,0.97,Kinh,Nu,Bac,Chua,23.5,9,8.25,6.25,0,42.75,1991,2010,2010,Co,Co,Co,Khong,Co,Co,Co
2,0.85,0.93,22,0.93,0.81,17,0.9,0.92,Kinh,Nam,Trung,Chua,19,6.5,9,0,3.5,45.5,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
5,0.89,0.95,22,0.95,0.88,22,0.88,0.92,Kinh,Nam,Bac,Chua,19,7.25,5.75,0,6,57.25,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
6,0.89,0.87,22,0.87,0.97,16,0.92,0.89,Kinh,Nam,Trung,Chua,19,9.25,8,0,1.75,58.25,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
5,0.86,0.93,22,0.93,0.92,15,0.97,0.95,Kinh,Nam,Nam,Chua,19,8.75,5.5,0,4.75,40.75,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
4,0.98,0.88,22,0.88,1,15,0.88,0.88,Kinh,Nam,Trung,Chua,19,9.25,9.25,0,0.5,58.25,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
3,0.96,0.94,22,0.94,0.89,20,0.92,0.93,Kinh,Nam,Bac,Chua,19,9,7,0,3,46.25,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
6,0.83,0.86,22,0.86,0.99,21,1,0.93,Khac,Nam,Trung,Chua,19,9.25,7.25,0,2.5,45,1989,2009,2010,Co,Co,Co,Khong,Co,Co,Co
5,0.94,0.89,22,0.89,0.82,16,0.83,0.86,Kinh,Nam,Nam,Chua,19,9.75,5,0,4.25,51,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
2,0.87,0.95,22,0.95,0.93,16,0.87,0.92,Kinh,Nam,Nam,Chua,21.5,6,6.75,8.75,0,46.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.88,0.89,22,0.89,0.95,20,0.99,0.94,Kinh,Nam,Bac,Chua,19,7.5,5,6.5,0,41.25,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.81,0.93,22,0.93,0.97,17,0.95,0.94,Kinh,Nam,Trung,Chua,21.25,9.75,5.25,6.25,0,57.5,1991,2009,2010,Khong,Khong,Co,Co,Co,Co,Co
4,0.8,0.99,22,0.99,0.87,22,1,1,Kinh,Nam,Nam,Chua,19,5.25,8.75,0,5,51.5,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
2,0.86,0.83,22,0.83,0.99,15,0.94,0.87,Kinh,Nam,Nam,Chua,19,9,5.75,0,4.25,49.75,1990,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.98,0.96,22,0.96,0.87,20,0.82,0.89,Kinh,Nam,Nam,Chua,19,8.5,7.25,0,3.25,51.25,1990,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
6,0.96,0.98,22,0.98,0.92,17,1,0.99,Kinh,Nam,Nam,Chua,19,9.5,5.5,0,4,50.25,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
5,0.88,0.9,22,0.9,0.85,18,0.82,0.86,Khac,Nam,Bac,Chua,22.5,8.75,5.25,8.5,0,54.25,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
3,0.87,0.81,22,0.81,0.93,17,0.87,0.84,Kinh,Nam,Trung,Chua,19,6,6.5,0,6.5,41,1992,2010,2010,Khong,Khong,Co,Khong,Co,Co,Co
6,0.98,0.81,22,0.81,0.86,22,0.97,0.89,Kinh,Nam,Trung,Chua,19,5.5,9.5,0,4,50.75,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
3,0.95,0.86,22,0.86,0.83,16,0.88,0.87,Kinh,Nu,Trung,Chua,23.25,7.5,7.5,8.25,0,59.5,1989,2008,2010,Co,Khong,Co,Khong,Co,Co,Co
1,0.82,0.94,22,0.94,0.92,14,0.96,0.95,Kinh,Nam,Bac,Chua,19,6,6.25,0,6.75,56.25,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
1,0.85,0.84,22,0.84,0.97,15,0.94,0.88,Kinh,Nam,Bac,Chua,26,6.25,10,9.75,0,55.75,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
1,0.86,0.98,22,0.98,0.93,22,0.98,0.98,Kinh,Nu,Bac,Chua,20.25,9.5,5.75,5,0,49,1990,2008,2010,Khong,Khong,Co,Co,Co,Co,Co
3,0.83,0.83,22,0.83,0.83,18,0.99,0.9,Kinh,Nam,Bac,Chua,19.5,5.75,6,7.75,0,59.5,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
4,0.95,0.98,22,0.98,0.87,15,0.91,0.95,Kinh,Nam,Trung,Chua,20,7.25,6.25,6.5,0,50.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
4,0.8,0.81,22,0.81,0.85,17,0.91,0.85,Kinh,Nu,Bac,Chua,19,6,5.25,0,7.75,56.75,1991,2010,2010,Co,Co,Co,Khong,Co,Co,Co
4,0.84,0.86,22,0.86,0.92,14,0.99,0.91,Kinh,Nam,Bac,Chua,19,7.25,6.5,0,5.25,44,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
6,0.81,0.91,22,0.91,0.82,19,0.88,0.9,Kinh,Nam,Trung,Chua,19,9.75,5.75,0,3.5,54.25,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
6,0.9,0.81,22,0.81,1,17,0.86,0.83,Kinh,Nam,Trung,Chua,19,8,6.75,0,4.25,59,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.84,0.91,22,0.91,0.92,21,0.94,0.92,Kinh,Nu,Trung,Chua,19,5.5,5.25,8.25,0,44.25,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
5,0.91,0.91,22,0.91,0.92,16,0.8,0.86,Kinh,Nu,Nam,Chua,21,10,5.25,5.75,0,46.25,1991,2009,2010,Co,Co,Co,Co,Co,Co,Co
5,0.94,0.99,22,0.99,0.89,14,0.95,0.97,Kinh,Nam,Nam,Chua,19,7.5,8.75,0,2.75,53.75,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
2,0.84,0.97,22,0.97,0.83,22,0.88,0.93,Kinh,Nu,Nam,Chua,19,7.25,6.75,0,5,43,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
4,0.87,0.93,22,0.93,0.88,17,0.97,0.95,Kinh,Nam,Trung,Chua,19,8.75,6.25,0,4,57.25,1990,2010,2010,Co,Co,Co,Khong,Co,Co,Co
5,0.86,0.83,22,0.83,0.96,17,0.82,0.83,Kinh,Nam,Nam,Chua,19,5.75,5,0,8.25,56,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.83,0.91,22,0.91,0.85,14,0.88,0.9,Kinh,Nam,Nam,Chua,19,9.25,8,0,1.75,57.25,1990,2008,2010,Khong,Co,Co,Khong,Co,Co,Co
5,0.98,0.85,22,0.85,0.89,20,0.98,0.91,Kinh,Nam,Trung,Chua,24.5,6.5,9,9,0,56.25,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
2,0.88,0.85,22,0.85,0.96,14,0.82,0.84,Kinh,Nam,Bac,Chua,25.25,9.5,8.75,7,0,46.25,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
4,0.98,0.9,22,0.9,0.82,16,0.86,0.88,Khac,Nu,Bac,Chua,21.75,7.5,8.25,6,0,57.5,1992,2010,2010,Co,Khong,Co,Co,Co,Co,Co
5,0.97,0.88,22,0.88,0.97,21,0.94,0.91,Kinh,Nam,Trung,Chua,19,9.5,8.25,0,1.25,41.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
2,0.88,0.93,22,0.93,0.82,18,0.81,0.88,Kinh,Nu,Bac,Chua,19,6.5,6.25,0,6.25,41,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
5,0.98,0.85,22,0.85,0.95,21,0.92,0.88,Kinh,Nam,Nam,Chua,19,5,5.25,8.75,0,51.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
2,0.99,0.85,22,0.85,0.93,19,0.85,0.85,Kinh,Nam,Trung,Chua,19,5.5,7.75,0,5.75,49.75,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
6,0.82,0.9,22,0.9,0.99,14,0.82,0.87,Kinh,Nam,Bac,Chua,20.5,8.5,6.25,5.75,0,53.75,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
1,1,0.84,22,0.84,0.87,19,0.97,0.9,Kinh,Nam,Bac,Chua,23,6,9,8,0,43.75,1991,2009,2010,Khong,Co,Co,Co,Co,Co,Co
6,0.98,0.86,22,0.86,0.95,15,0.99,0.91,Kinh,Nam,Nam,Chua,26.5,8.75,9.75,8,0,53.75,1991,2009,2010,Khong,Co,Co,Khong,Co,Co,Co
4,0.81,0.9,22,0.9,0.89,17,0.91,0.9,Kinh,Nam,Nam,Chua,19,8,9.25,0,1.75,58,1991,2010,2010,Co,Co,Co,Co,Co,Co,Co
3,0.89,0.89,22,0.89,0.81,20,0.87,0.88,Kinh,Nam,Trung,Chua,21.5,7,6,8.5,0,50.75,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
4,0.92,0.87,22,0.87,0.97,18,0.8,0.84,Kinh,Nam,Trung,Chua,22.25,6.25,9,7,0,53.75,1992,2010,2010,Khong,Co,Co,Co,Co,Co,Co
2,0.98,0.92,22,0.92,0.95,20,0.89,0.91,Kinh,Nam,Trung,Chua,19,9.5,6.5,0,3,58,1991,2010,2010,Khong,Co,Co,Co,Co,Co,Co
4,0.98,0.93,22,0.93,0.88,22,0.82,0.88,Kinh,Nam,Bac,Chua,22,5,9,8,0,59,1992,2010,2010,Co,Co,Co,Co,Co,Co,Co
1,0.96,0.96,22,0.96,0.81,19,0.83,0.9,Kinh,Nam,Nam,Chua,22.5,7.5,6.5,8.5,0,46.75,1991,2009,2010,Khong,Khong,Co,Khong,Co,Co,Co
5,0.92,0.85,22,0.85,0.85,19,0.86,0.85,Kinh,Nam,Nam,Chua,21.75,7,8.25,6.5,0,49.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
3,0.82,1,22,1,0.86,22,0.98,0.99,Kinh,Nam,Trung,Chua,19,7.25,7,0,4.75,45,1990,2010,2010,Khong,Co,Co,Khong,Co,Co,Co
2,0.86,0.93,22,0.93,0.91,14,0.9,0.92,Kinh,Nu,Bac,Chua,20.25,6.25,8.5,5.5,0,52.5,1991,2010,2010,Khong,Co,Co,Co,Co,Co,Co
2,0.84,1,22,1,0.9,16,0.92,0.97,Kinh,Nu,Bac,Chua,19,6,9,0,4,43.5,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
1,0.96,0.96,22,0.96,0.97,22,0.99,0.98,Kinh,Nam,Bac,Chua,19,7.5,7.75,0,3.75,52.5,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
2,0.84,0.83,22,0.83,0.86,22,0.95,0.89,Kinh,Nam,Bac,Chua,20.25,6.5,6.25,7.5,0,47,1992,2010,2010,Co,Khong,Co,Khong,Co,Co,Co
2,0.88,0.9,22,0.9,0.83,15,0.86,0.88,Kinh,Nam,Bac,Chua,19,7.25,9.75,0,2,54.5,1991,2010,2010,Co,Co,Co,Co,Co,Co,Co
1,0.99,0.84,22,0.84,0.98,18,0.86,0.85,Kinh,Nam,Trung,Chua,26.25,9.25,8,9,0,50,1992,2010,2010,Khong,Khong,Co,Co,Co,Co,Co
3,0.96,0.99,22,0.99,0.94,18,0.89,0.95,Khac,Nam,Nam,Chua,21.5,6.75,7.25,7.5,0,56.5,1991,2010,2010,Khong,Co,Co,Co,Co,Co,Co
4,0.8,0.89,22,0.89,0.81,15,0.85,0.87,Kinh,Nam,Bac,Chua,19,9.25,7.75,0,2,42.5,1992,2010,2010,Co,Co,Co,Khong,Co,Co,Co
3,0.86,0.89,22,0.89,0.93,19,0.86,0.88,Kinh,Nam,Nam,Chua,19,6.5,8.75,0,3.75,57.25,1990,2010,2010,Co,Khong,Co,Co,Co,Co,Co
6,0.9,0.91,22,0.91,0.89,16,0.85,0.88,Kinh,Nu,Trung,Chua,27.25,9.5,9.5,8.25,0,50.25,1990,2010,2010,Co,Khong,Co,Co,Co,Co,Co
3,0.92,0.9,22,0.9,0.83,19,0.9,0.9,Kinh,Nu,Bac,Chua,22.75,7.5,9.75,5.5,0,43.25,1990,2010,2010,Co,Khong,Co,Co,Co,Co,Co
